Citation,White,Black,Hispanic,Situational Vulnerability,Indigenous,Indian,First Nation,Métis,Metis,Inuit,reserve,American Indian,Alaska Native,Enrolled Tribe,Principal Tribe,Native Hawaiian,Samoan,Chamorro,Pacific Islander
"Nesbitt et al., 2019",1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"Ng et al., 2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nyelele & Kroll, 2020",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paddle & Gilliland, 2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pallathadka et al., 2021",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pallathadka et al., 2022a",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pallathadka et al., 2022b",1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"Park & Guldmann, 2020",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Park et al., 2021",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Park et al., 2024",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Park, 2023",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pascual et al., 2020",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pearsall & Eller, 2020",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perkins et al., 2004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pham et al., 2011",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pham et al., 2012",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pham et al., 2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinault et al., 2021",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Powers et al., 2024",1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Quinton et al., 2022",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Rahman et al., 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rasmussen et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Razzaghi Asl, 2025",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ren & Giang, 2024",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rigolon et al., 2018",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rigolon, 2017",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riley & Gardiner, 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robillard et al., 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robitaille & Douyon, 2025",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rodriguez Gonzalez et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rodriguez-Gonzalez & Torres-Garrido, 2023",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roubal et al., 2015",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rout & Nesbitt, 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ryan, 2023",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Salgado et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saporito & Casey, 2015",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxon, 2021",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Schinasi et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwarz et al., 2015",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scott, 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sen et al., 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sharma et al., 2025",1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Shin, 2020",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shokry et al., 2020",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sims et al., 2022",1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Sister et al., 2010",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smiley et al., 2010",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith & Floyd, 2013",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solins et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorrensen et al., 2015",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spotswood et al., 2021",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stewart et al., 2014",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stuhlmacher & Kim, 2024",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"Su et al., 2011",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sugg et al., 2025",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suminski et al., 2012",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sun et al., 2021",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Szantoi et al., 2012",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talen, 1997",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talen, 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talen, 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tang & Li, 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tian et al., 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tooke et al., 2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ussery et al., 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VanCeylon & Melstrom, 2025",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Varuzzo & Harvey, 2017",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaughan et al., 2013",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Velasquez-Camacho et al., 2025",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volin et al., 2020",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walker et al., 2023",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walter et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wang & Qiu, 2018",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wang & Zha, 2024",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wang et al., 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wang et al., 2025a",1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Wang et al., 2025b",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Watkins et al., 2017",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wei et al., 2023",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wei, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Weiss et al., 2011",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wen et al., 2013",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wendel et al., 2011",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Williams et al., 2020",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wilson et al., 2024",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Winkler et al., 2024",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
"Wolch et al., 2005",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wong et al., 2023",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wood et al., 2024",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
